titulo,vinculo,resumen 
b'[LIBRO][B] Mental health in Black America.',b'https://psycnet.apa.org/record/1996-09137-000',"b'How is the quality of life among black Americans related to their behavioral health problems and diseases? What strategies do blacks use to cope with the problems of living in American today?[This] volume, which is based on the National Survey of Black Americans data set\xc2\xa0\xe2\x80\xa6'"
b'Obesity among those with mental disorders: a National Institute of Mental Health meeting report',b'https://www.academia.edu/download/47252859/j.amepre.2008.11.02020160714-1234-1m8994h.pdf',"b'Abstract The National Institute of Mental Health convened a meeting in October 2005 to review the literature on obesity, nutrition, and physical activity among those with mental disorders. The findings of this meeting and subsequent update of the literature review are\xc2\xa0\xe2\x80\xa6'"
b'Violence in mental health care: the experiences of mental health nurses and psychiatrists',b'https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2648.1999.01163.x',b'Violence in mental health care: the experiences of mental health nurses and psychiatrists Violence against mental health service personnel is a serious workplace problem and one that appears to be increasing. This study aimed to ascertain the extent and nature of\xc2\xa0\xe2\x80\xa6'
b'[HTML][HTML] Mental health issues in unaccompanied refugee minors',b'https://link.springer.com/article/10.1186/1753-2000-3-13',b'Previous studies about unaccompanied refugee minors (URMs) showed that they are a highly vulnerable group who have greater psychiatric morbidity than the general population. This review focuses on mental health issues among URMs. Articles in databases PsycINFO\xc2\xa0\xe2\x80\xa6'
b'Spinal cord injury and mental health',b'https://www.researchgate.net/profile/Christine_Migliorini/publication/5521027_Spinal_Cord_Injury_and_Mental_Health/links/5c8acc3392851c1df941a201/Spinal-Cord-Injury-and-Mental-Health.pdf',"b'Objectives: The aim of the study was to examine the mental health of adults with spinal cord injury living in the community Methods: The study was a representative community cross-sectional cohort self-report survey, carried out in adults with traumatic spinal cord injury\xc2\xa0\xe2\x80\xa6'"
b'Mental health services for children: The state of the art.',b'https://psycnet.apa.org/record/1989-27149-001',"b'Throughout this century, people in the United States have been concerned about the serious deficiencies in the mental health care of our children. Despite eloquent needs assessment and recommendations for remediation, most of the unserved needs and deficiencies of our\xc2\xa0\xe2\x80\xa6'"
b'Rurality and mental health treatment',b'https://www.researchgate.net/profile/Emily_Hauenstein/publication/6635049_Rurality_and_Mental_Health_Treatment/links/5c69c0e9299bf1e3a5af01fe/Rurality-and-Mental-Health-Treatment.pdf',b'Diversity within rural areas renders rural\xe2\x80\x93urban comparisons difficult. The association of mental health treatment rates with levels of rurality is investigated here using Rural\xe2\x80\x93Urban Continuum Codes. Data from the 1996\xe2\x80\x931999 panels of the Medical Expenditure Panel\xc2\xa0\xe2\x80\xa6'
"b""Mental health: there's an app for that""",b'https://www.nature.com/articles/532020a',"b""Type'depression'into the Apple App Store and a list of at least a hundred programs will pop up on the screen. There are apps that diagnose depression (Depression Test), track moods (Optimism) and help people to \xe2\x80\x9cthink more positive\xe2\x80\x9d(Affirmations!). There's Depression Cure\xc2\xa0\xe2\x80\xa6"""
b'Complete mental health: An agenda for the 21st century.',b'https://psycnet.apa.org/record/2003-04013-013',b'The purpose of this chapter is to review the conception and diagnosis of mental health. Research is reviewed that shows that there are grave reasons for concern about the mental health of adults in the US. Fewer than one quarter adults aged 25-74 yrs fit the criteria for\xc2\xa0\xe2\x80\xa6'
"b'[LIBRO][B] Exercise, health and mental health: Emerging relationships'",b'https://books.google.com/books?hl=es&lr=&id=vkF5mlmLjlwC&oi=fnd&pg=PR10&dq=mental+health%0A&ots=Vv2nJeIp14&sig=Onf-7FNxSqQGRgoUOwkxpW8KX28',"b'Exercise, Health and Mental Health provides an introduction to this emerging field and a platform for future research and practice. Written by internationally acclaimed exercise, health and medical scientists, it is the first systematic review of the evidence for the potential\xc2\xa0\xe2\x80\xa6'"
b'Gender and health services use for a mental health problem',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3656496/',"b""This study addresses whether the predictors of seeking help for a mental health problem differ by gender. An adaptation of Andersen's Socio-Behavioral Model is used to identify factors associated with seeking care for a mental health problem. Data are derived from two\xc2\xa0\xe2\x80\xa6"""
b'[LIBRO][B] Clinical guidelines in cross-cultural mental health.',b'https://psycnet.apa.org/record/1988-97772-000',b'This book clarifies many of the issues encountered within the pluralistic cultural context and suggests practical solutions to many of the problems. Its contributors are scholars and experienced clinicians who have worked with a diverse range of patients. The volume was\xc2\xa0\xe2\x80\xa6'
b'Socioeconomic status and mental health',b'https://link.springer.com/chapter/10.1007/0-387-36223-1_8',"b'In 1912, the British luxury liner, the Titanic, struck an iceberg off the coast of Newfoundland on its maiden voyage from Southampton, England, to New York City. This accident was one of the worst marine disasters ever, with two-thirds of the more than 2,200 persons aboard\xc2\xa0\xe2\x80\xa6'"
b'The Internet and mental health literacy',b'https://journals.sagepub.com/doi/abs/10.1080/000486700272',"b'Objective: This paper describes the informational and treatment opportunities offered by the Worldwide Web (WWW) and comments on the advantages, disadvantages and potential dangers of its role in mental health and mental health research. Method: Two perspectives\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Women and mental health.',b'https://pdfs.semanticscholar.org/c02c/0d14ea43e2eee099a1765e636585e5cc5313.pdf#page=459',"b'This chapter highlights new conceptualizations, methodological issues, and selected research findings related to women and mental health. We focus on the literature published in the 1990s and beyond, including reference to previous or work only when it has a special\xc2\xa0\xe2\x80\xa6'"
b'Stigmatizing attitudes about mental illness and allocation of resources to mental health services',b'http://www.brown.uk.com/stigma/corrigan.pdf',"b'This study tests a social psychological model (Skitka & Tetlock, 1992). Journal of Experimental Social Psychology, 28, 491\xe2\x80\x93522;[1993]. Journal of Personality & Social Psychology, 65, 1205\xe2\x80\x931223 stating that policy maker decisions regarding the allocation of\xc2\xa0\xe2\x80\xa6'"
"b'Employment, social inclusion and mental health'",b'https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2850.2000.00260.x',"b'Whereas unemployment is clearly linked to mental health problems, employment can improve quality of life, mental health, social networks and social inclusion. Yet in the UK only 15% of people with serious mental health problems are employed\xe2\x80\x93despite an overwhelming\xc2\xa0\xe2\x80\xa6'"
b'Mental health in the Covid-19 pandemic',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184387/',"b""During any outbreak of an infectious disease, the population's psychological reactions play a critical role in shaping both spread of the disease and the occurrence of emotional distress and social disorder during and after the outbreak. Despite this fact, sufficient resources are\xc2\xa0\xe2\x80\xa6"""
b'Managed care and mental health',b'https://www.nejm.org/doi/pdf/10.1056/NEJM199601113340221',"b'In less than a decade, the treatment of mental disorders and substance abuse has undergone a dramatic change with the emergence of for-profit companies that provide managed \xe2\x80\x9cbehavioral health care.\xe2\x80\x9d To the angry dismay of many psychiatrists and other\xc2\xa0\xe2\x80\xa6'"
b'Mental health benefits of physical activity',b'https://www.tandfonline.com/doi/abs/10.1080/09638230500270776',b'Background: Public health discussions of physical activity have tended to focus on physical health benefits rather than mental health benefits. Aim: This article provides a commentary on the potential benefits of physical activity on mental health. Method: This article reviews\xc2\xa0\xe2\x80\xa6'
"b'Mental health and social capital in Cali, Colombia'",b'https://www.academia.edu/download/46889905/j.socscimed.2003.08.01320160629-18313-17q7org.pdf',b'Mental ill health forms an increasingly significant part of the burden of disease in developing countries. The growing interest in social risk factors for mental health coincides with the development of social capital research which may further inform the social model of mental \xc2\xa0\xe2\x80\xa6'
b'The use of the General Health Questionnaire as an indicator of mental health in occupational studies',b'https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1111/j.2044-8325.1980.tb00024.x',"b'This paper examines the psychometric properties of an existing measure of mental health, the GHQ\xe2\x80\x9012, as revealed in three studies involving employees in an engineering firm (n= 659), recent school\xe2\x80\x90leavers (n= 647), and unemployed men (n= 92). The measure was\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Mental health consequences of disasters',b'https://www.annualreviews.org/eprint/QtwtVUQSk4tDmYGYRNXG/full/10.1146/annurev-publhealth-032013-182435?utm_source=TrendMD&utm_medium=cpc&utm_campaign=2020_In_Review&utm_content=Stress',"b'We present in this review the current state of disaster mental health research. In particular, we provide an overview of research on the presentation, burden, correlates, and treatment of mental disorders following disasters. We also describe challenges to studying the mental \xc2\xa0\xe2\x80\xa6'"
b'Health risk behaviors and mental health problems as mediators of the relationship between childhood abuse and adult health',b'https://ajph.aphapublications.org/doi/pdfplus/10.2105/AJPH.2007.122408',"b'Objectives. We examined the relationship between childhood abuse and adult health risk behaviors, and we explored whether adult health risk behaviors or mental health problems mediated the relationship between childhood abuse and adult health problems and health \xc2\xa0\xe2\x80\xa6'"
b'Adolescents with mental health problems: what do they say about health services?',b'https://www.sciencedirect.com/science/article/pii/S014019710290463X',b'This study explored the health-related views and experiences of adolescent users of mental health services through semi-structured interviews with 32 14\xe2\x80\x9320-year olds who had been diagnosed with a mental illness. The majority of respondents had both negative and positive\xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] Handbook of mental health and aging',b'https://books.google.com/books?hl=es&lr=&id=9lyNAgAAQBAJ&oi=fnd&pg=PP1&dq=mental+health%0A&ots=2HjwE9qNnC&sig=ObNRTvuQ9Ncz0HMa7Sn5aLvGKpo',"b'This book is a thorough revision of one of the most comprehensive reference volumes for persons working in the area of aging and mental health. The thrust of the work is interdisciplinary, and discusses research on both clinical and practical issues in aging and\xc2\xa0\xe2\x80\xa6'"
b'Meta-analysis of stigma and mental health',b'https://www.sciencedirect.com/science/article/pii/S0277953607001499',"b""Recent research has emphasized the adverse effects of stigma on minority groups' mental health. Governments and service agencies have put much effort into combating stigma against a variety of conditions. Nevertheless, previous empirical research on the stigma\xc2\xa0\xe2\x80\xa6"""
b'A brief mental health outcome scale',b'https://search.proquest.com/openview/b18a9cea4ee3bc53c8b36a06e2f5c51c/1?pq-origsite=gscholar&cbl=40635',"b'Background The Global Assessment of Functioning (GAF) is a quick and simple measure of overall psychological disturbance. However, there is little research on the reliability and validity of this measure in severely mentally ill populations. Method Multidisciplinary\xc2\xa0\xe2\x80\xa6'"
b'Engaging families in child mental health services',b'http://www.thrivechildandyouth.ca/images/pdfs/2012-symposium/Engagement.pdf',"b""The last decade has brought important advances in the area of children's mental health, including a concerted focus on building a scientific base for understanding the mental health difficulties that our most vulnerable members of society experience and examining the\xc2\xa0\xe2\x80\xa6"""
b'[HTML][HTML] Mindful parenting in mental health care',b'https://link.springer.com/article/10.1007/s12671-010-0014-5%20',"b'Mindfulness is a form of meditation based on the Buddhist tradition, which has been used over the last two decades to successfully treat a multitude of mental health problems. Bringing mindfulness into parenting (\xe2\x80\x9cmindful parenting\xe2\x80\x9d) is one of the applications of\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Barriers to mental health treatment: results from the WHO World Mental Health (WMH) Surveys',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100460/',b'Background To examine barriers to initiation and continuation of mental health treatment among individuals with common mental disorders. Methods Data are from the WHO World Mental Health (WMH) Surveys. Representative household samples were interviewed face-to\xc2\xa0\xe2\x80\xa6'
b'Conceptualizing mental health care utilization using the health belief model',b'https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-2850.2009.01181.x',"b'This article uses the Health Belief Model (HBM; Health Education Monographs, 1974, 2: 409) as a framework for explaining what factors might encourage or inhibit an individual from utilizing mental health services. The HBM is a socio\xe2\x80\x90cognitive approach that proposes\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] A renewed agenda for global mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4991748/',"b'The Lancet, London, UK 4 years ago, The Lancet published a Series of articles highlighting the global health crisis due to an astonishingly large treatment gap: up to nine of ten people with a mental health problem do not receive even basic care in some countries. The Series\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Evaluating managed mental health services',b'https://books.google.com/books?hl=es&lr=&id=ewMgNpu3WsAC&oi=fnd&pg=PA1&dq=mental+health%0A&ots=Lv1dOaFIuJ&sig=EDeJrMCPKaNpMGqlUl6D5-KWJZw',"b'Based on a five-year evaluation of an $80 million US Army demonstration program, this first-of-its kind study explores the cost effectiveness of a managed care model of service delivery for children and adolescents with mental health and substance addiction problems\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] Social capital and mental health',b'https://www.academia.edu/download/47306768/Social_capital_and_mental_health20160717-8340-1xd4u5m.pdf',"b'1 Scottish Intercollegiate Guidelines Network (SIGN). Prophylaxis of venous \nthromboembolism: a national clinical guideline. SIGN publication 62. Edinburgh: SIGN, \n2002: www.sign.ac.uk (accessed July 4, 2003). 2 Eriksson BI, Bauer KA, Lassen MR, Turpie\xc2\xa0\xe2\x80\xa6'"
b'The SF-36 Health Survey: Development and use in mental health research and the IQOLA Project',b'https://www.tandfonline.com/doi/pdf/10.1080/00207411.1994.11449283',"b""An important development in health outcomes research is recognition of the centrality of the patient's point of view [1]. A health outcome has come to mean the extent to which a change in a patient's behavioral functioning or well-being meets that patient's needs or expectations\xc2\xa0\xe2\x80\xa6"""
"b'Mental health literacy: past, present, and future'",b'https://journals.sagepub.com/doi/full/10.1177/0706743715616609',b'Mental health literacy (MHL) is a construct that has arisen from the domain of health literacy (HL) and must be understood in that context. The development of HL was initially informed by observations that low functional literacy was associated with numerous poor health \xc2\xa0\xe2\x80\xa6'
b'[HTML][HTML] Age differences in mental health literacy',b'https://link.springer.com/article/10.1186/1471-2458-8-125',"b""The community's knowledge and beliefs about mental health problems, their risk factors, treatments and sources of help may vary as a function of age. Data were taken from an epidemiological survey conducted during 2003\xe2\x80\x932004 with a national clustered sample of\xc2\xa0\xe2\x80\xa6"""
b'Economics of mental illness.',b'https://psycnet.apa.org/psycinfo/2006-20859-000/',b'\xe2\x80\xa6 Joint commission on mental illness and health monograph series: Vol. 2. Economics of mental\nillness\xc2\xa0\xe2\x80\xa6 All of us who are concerned with mental health would like definitive answers to such\nquestions as these: How much does mental illness cost the people of the United States\xc2\xa0\xe2\x80\xa6 \n'
b'[PDF][PDF] The economic burden of mental health problems in Canada',b'https://www.researchgate.net/profile/Michel_Lavoie/publication/11942928_The_storage_of_household_long_guns_The_situation_in_Quebec/links/54cabb8e0cf2517b756002eb.pdf#page=20',"b'This study provides a comprehensive estimate of the economic burden of mental health problems in Canada in 1998. In particular, it estimates the cost of non-medical services that have not been previously published and the value of short-term disability associated with\xc2\xa0\xe2\x80\xa6'"
"b'Self, identity, stress, and mental health'",b'https://link.springer.com/chapter/10.1007/978-94-007-4276-5_18',"b""This chapter explores the many ways in which people's self-conceptions are involved in the stress process. The appraisal of stressors' magnitude and thus their impacts on mental health may depend on whether or not they occur in a highly valued role-identity domain\xc2\xa0\xe2\x80\xa6"""
b'Impact of mental illness in families of mental health professionals.',b'https://psycnet.apa.org/record/1988-11936-001',b'Investigated family burden and coping strategies through questionnaires in 84 experienced mental health professionals with family members suffering from chronic major mental illnesses. Personal reactions of Ss involved cognitive and attitudinal changes in conceptions\xc2\xa0\xe2\x80\xa6'
b'Self-help and mental health',b'https://ps.psychiatryonline.org/doi/abs/10.1176/ps.33.8.631',b'Over the past decade self-help groups have become an important way of helping people cope with various life crises. Groups have organized to help individual members deal with a wide range of health-related and other problems. The authors define the meaning of self\xc2\xa0\xe2\x80\xa6'
b'American Indian mental health policy.',b'https://psycnet.apa.org/getdoi.cfm?doi=10.1037/0003-066X.43.5.388',"b'The American Indian population is culturally heterogeneous, geographically dispersed, and remarkably young. There are 200 tribal languages still spoken today. The diversity found in some 511 federally recognized native entities and an additional 365 state-recognized\xc2\xa0\xe2\x80\xa6'"
b'The hidden mental health network: Treatment of mental illness by nonpsychiatrist physicians',b'https://jamanetwork.com/journals/jamapsychiatry/article-abstract/493495',"b'\xe2\x80\xa2 Building on a previous study, this report explores in more detail one aspect of the"" de facto mental health services system,"" the treatment of mental disorders by nonpsychiatrist physicians in office-based practice. Data from the 1980 and 1981 National Ambulatory\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] \xe2\x80\x9cPandemic fear\xe2\x80\x9d and COVID-19: mental health burden and strategies',b'https://www.scielo.br/scielo.php?pid=S1516-44462020000300232&script=sci_arttext',"b'In the wake of the September 11 attack in the United States and the Kiss Nightclub fire in Brazil, psychological assistance task forces for victims and their families were quickly organized. However, during pandemics it is common for health professionals, scientists and\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Psychiatric-mental health nursing',b'http://sutlib2.sut.ac.th/sut_contents/H120039.pdf',"b'This fully updated Fifth Edition explores the full psychiatric nursing curriculum, from theoretical foundations to application of interventions for commonly encountered disorders. The focus is on treatment modalities, nursing care, therapeutic communication, and self\xc2\xa0\xe2\x80\xa6'"
b'Vicarious traumatization: implications for the mental health of health workers?',b'http://www.svri.org/sites/default/files/attachments/2016-01-13/1-s2.0-S0272735803000308-main.pdf',"b""It has been suggested that a unique feature of some mental heath practitioners' work is exposure through their role as therapists to clients' descriptions of and reactions to trauma, and that these experiences may actually indirectly cause distress and traumatization to the\xc2\xa0\xe2\x80\xa6"""
b'QALYs and mental health care',b'https://link.springer.com/content/pdf/10.1007/BF00788923.pdf',"b'Quality-adjusted life year measures (QALYs) have been fervently debated by researchers and decision makers concerned with resource allocation in the health care sector. They have been heralded as important aids to planning and priority setting, but also criticised on\xc2\xa0\xe2\x80\xa6'"
b'The influence of exercise on mental health',b'https://www.researchgate.net/profile/Daniel-Landers/publication/266406071_The_Influence_of_Exercise_on_Mental_Health/links/551431c30cf23203199cfb4f/The-Influence-of-Exercise-on-Mental-Health.pdf',"b'Abstract"" We now have evidence to support the claim that exercise is related to positive mental health as indicated by relief in sympotoms of depression and anxiety."" A NOTE FROM THE EDITORS Mental health as discussed in this paper by Dr. Daniel Landers, a\xc2\xa0\xe2\x80\xa6'"
b'The impact of mental illness stigma on seeking and participating in mental health care',b'https://www.researchgate.net/profile/Deborah_Perlick/publication/279239872_The_Impact_of_Mental_Illness_Stigma_on_Seeking_and_Participating_in_Mental_Health_Care/links/55d4a28208aef1574e9756aa/The-Impact-of-Mental-Illness-Stigma-on-Seeking-and-Participating-in-Mental-Health-Care.pdf',"b'Treatments have been developed and tested to successfully reduce the symptoms and disabilities of many mental illnesses. Unfortunately, people distressed by these illnesses often do not seek out services or choose to fully engage in them. One factor that impedes\xc2\xa0\xe2\x80\xa6'"
"b'[LIBRO][B] Religion, culture and mental health'",b'https://books.google.com/books?hl=es&lr=&id=jbhbK-ypBHYC&oi=fnd&pg=PA142&dq=mental+health%0A&ots=kd-AEbv9kE&sig=cE6vFrw1vKKwNDOVkjIARlT0pc0',b'Are religious practices involving seeing visions and speaking in tongues beneficial or detrimental to mental health? Do some cultures express distress in bodily form because they lack the linguistic categories to express distress psychologically? Do some religions\xc2\xa0\xe2\x80\xa6'
b'Community mental health and ethnic minority populations',b'https://link.springer.com/article/10.1007/BF00752778',"b'National trends in minority utilization of mental health services are reviewed, and recommendations are made for needed research. In relation to their representation in the population, blacks use services more than expected, and Asian American/Pacific Islanders\xc2\xa0\xe2\x80\xa6'"
"b'[LIBRO][B] Mental health and social policy, 1845-1959'",b'https://books.google.com/books?hl=es&lr=&id=8eyzAAAAQBAJ&oi=fnd&pg=PP1&dq=mental+health%0A&ots=FCzyxREAyv&sig=eHB-c3AKR1KR9l7ZofvL3kRcozk',"b'The International Library of Sociology VI VII THE SOCIOLOGY OF MENTAL HEALTH In 7 Volumes \nThe Desegregation of the Mentally Ill Lunacy, Law, and Conscience Mental Health and Social \nPolicy 1845 - 1959 Mental Hospitals at Work Psychiatric Social Work in Great Britain (1939\xc2\xa0\xe2\x80\xa6'"
b'Mental health systems in countries: where are we now?',b'https://www.sciencedirect.com/science/article/pii/S0140673607612410',"b""More than 85% of the world's population lives in 153 low-income and middle-income countries (LAMICs). Although country-level information on mental health systems has recently become available, it still has substantial gaps and inconsistencies. Most of these\xc2\xa0\xe2\x80\xa6"""
b'[LIBRO][B] Principles of forensic mental health assessment',b'https://books.google.com/books?hl=es&lr=&id=CjvtBwAAQBAJ&oi=fnd&pg=PA3&dq=mental+health%0A&ots=3q9GO1kr2w&sig=Ssnnwnm7UrDstnafRg012Y425w4',"b'Most of the literature in forensic mental health assessment is organized around the particular legal issue that is the focus of a given assessment, tool, or research study. This book starts with a different assumption: There are broad principles of forensic assessment that are\xc2\xa0\xe2\x80\xa6'"
"b""Mental health service users' experiences of mental health care: an integrative literature review""",b'https://rgu-repository.worktribe.com/preview/298493/NEWMAN%202015%20Mental%20health%20service%20users.pdf',b'Accessible summary A number of studies have highlighted issues around the relationship between service users and providers. The recovery model is predominant in mental health as is the recognition of the importance of person\xe2\x80\x90centred practice. The authors completed\xc2\xa0\xe2\x80\xa6'
b'Urban environment and mental health: a longitudinal study',b'https://search.proquest.com/openview/baf8d64eb76c7922c643b35ddd554ba9/1?pq-origsite=gscholar&cbl=40635',"b'BACKGROUND: In a follow-up survey from Oslo, 503 persons were re-interviewed using the same questionnaire after 10 years. METHOD: The questionnaire includes questions about social support, social characteristics of the neighbourhood and mental health. Information\xc2\xa0\xe2\x80\xa6'"
b'Asian American mental health: a call to action.',b'https://www.researchgate.net/profile/Stanley_Sue/publication/232224389_Asian_American_Mental_Health_A_Call_to_Action/links/547667690cf2778985b07ed4/Asian-American-Mental-Health-A-Call-to-Action.pdf',"b""Abstract The US Surgeon General's report Mental Health: Culture, Race, and Ethnicity\xe2\x80\x94A Supplement to Mental Health: A Report of the Surgeon General (US Department of Health and Human Services, 2001) was arguably the best single scholarly contribution on the\xc2\xa0\xe2\x80\xa6"""
b'Unemployment and mental health: a critical review',b'https://www.academia.edu/download/50687388/0277-9536_2893_2990316-v20161202-26241-1umh766.pdf',"b""Existing theoretical explanations of the mental health consequences of unemployment are outlined, critically reviewed and an alternative theory proposed. Theories reviewed include the rehabilitation approach, the stages model, Jahoda's functional model, Warr's vitamin\xc2\xa0\xe2\x80\xa6"""
b'Life stress and mental health: II. The midtown Manhattan study.',b'https://psycnet.apa.org/record/1965-02390-000',b'The 2nd volume reporting on the Cornell University Medical College 10-year Midtown Manhattan study which is a large-scale investigation of mental disorders (both treated and untreated) among adults (N= 1660) in an urban community. Some stressful factors as\xc2\xa0\xe2\x80\xa6'
b'[HTML][HTML] Religiousness and mental health: a review',b'https://www.scielo.br/scielo.php?pid=S1516-44462006000300018&script=sci_arttext',b'OBJECTIVE: The relationship between religiosity and mental health has been a perennial source of controversy. This paper reviews the scientific evidence available for the relationship between religion and mental health. METHOD: The authors present the main\xc2\xa0\xe2\x80\xa6'
b'[PDF][PDF] Social support and mental health',b'https://www.academia.edu/download/49769850/A_Handbook_for_the_Study_of_Mental_Health__Social_Contexts__Theories__and_Systems___2nd_edition.pdf#page=222',"b""Social support refers to one's social bonds, social integration, and primary group relations\xe2\x80\x93all concepts central to sociological theory and research. Social bonds and supportive relationships with others are essential to mental health; furthermore, social support can\xc2\xa0\xe2\x80\xa6"""
b'[LIBRO][B] Mental health policy and practice across Europe',b'https://kclpure.kcl.ac.uk/portal/en/publications/mental-health-policy-and-practice-across-europe(c773adff-5790-4409-8b7b-4be16fb9be26).html',"b'The European Observatory on Health Systems and Policies is a partnership between the World \nHealth Organization Regional Office for Europe, the Gov- ernments of Belgium, Finland, \nGreece, Norway, Slovenia, Spain and Sweden, the Veneto Region of Italy, the European Investment\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Methods for disaster mental health research',b'https://books.google.com/books?hl=es&lr=&id=ZcKlRgUqCOwC&oi=fnd&pg=PA1&dq=mental+health%0A&ots=0JLAvndMix&sig=9UcLTmFShpl_rB4PLwh6AOZwiDI',"b'The editors have done a marvelous job of creating an instructive and well-written book that is a must read for anyone who conducts disaster-related mental health research or who is involved in recovery planning and public health practice. For students, professionals\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Spirituality and mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2755140/',"b'All along, the majority position of Psychiatry has been that Psychiatry has nothing to do with religion and spirituality. Religious beliefs and practices have long been thought to have a pathological basis, and psychiatrists over a century have understood them in this light\xc2\xa0\xe2\x80\xa6'"
b'Exercise and mental health: a review',b'https://journals.sagepub.com/doi/abs/10.1177/146642409611600102',"b'With the advent of programmes to raise the level of fitness in the general pop ulation, and alliances between primary health care and community leisure services, the potential of exercise in promoting mental as well as physical health deserves investigation. In contrast to\xc2\xa0\xe2\x80\xa6'"
b'The role of religion and spirituality in mental and physical health',b'https://journals.sagepub.com/doi/abs/10.1111/1467-8721.00106',"b'An increased interest in the effects of religion and spirituality on health is apparent in the psychological and medical literature. Although religion in particular was thought, in the past, to have a predominantly negative influence on health, recent research suggests this\xc2\xa0\xe2\x80\xa6'"
b'Islam and mental health',b'https://apps.who.int/iris/bitstream/handle/10665/119027/emhj_2001_7_3_372_376.pdf?sequence=1',"b'Eastern Mediterranean Health Journal, Vol. 7, No. 3, 2001 373 alcohol or misusc of drugs. Several \nmore suffer from somatic problems due to psy- chological causes or are the victims of de- viant \nbchaviour. In recent years, the challenge of mental health has become even more acute in the\xc2\xa0\xe2\x80\xa6'"
"b""Recovery'and current mental health policy""",b'https://journals.sagepub.com/doi/abs/10.1177/1742395308097863',"b""This article examines a central plank of current mental health policy\xe2\x80\x94recovery'. The latter is being used increasingly as a harbinger of progress, when discussing improvements in service quality and social inclusion. Mainly using Britain as a case study, different usages of\xc2\xa0\xe2\x80\xa6"""
b'How the environment affects mental health',b'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/9CDA36F86AB77783F88F9B76D03FD69F/S0007125000230274a.pdf/how-the-environment-affects-mental-health.pdf',b'For many years there was an assumption that the extensive documentation of statisti- cal associations \nbetween risky environ- ments and mental disorders necessarily represented the operation of \nenvironmen- tally mediated causal mechanisms. Three considerations challenged that\xc2\xa0\xe2\x80\xa6'
"b'[LIBRO][B] \xe2\x80\xa6\xc2\xa0mental health: concepts, emerging evidence, practice: a report of the World Health Organization, Department of Mental Health and Substance Abuse in\xc2\xa0\xe2\x80\xa6'",b'https://apps.who.int/iris/bitstream/handle/10665/43286/9241562943-tha.pdf',"b'Promoting Mental Health: Concepts, Emerging Evidence, Practice aims to bring to life the mental health dimension of health promotion. The promotion of mental health is situated within the larger field of health promotion, and sits alongside the prevention of mental \xc2\xa0\xe2\x80\xa6'"
b'Mental health and working conditions in Europe',b'https://www.econstor.eu/bitstream/10419/35978/1/620100540.pdf',"b'The authors investigate recent patterns in mental health at the workplace across 15 European countries using three waves of the European Working Conditions Survey. Their study shows that adverse working conditions, defined in terms of job demands and job\xc2\xa0\xe2\x80\xa6'"
b'Career development and mental health',b'https://link.springer.com/content/pdf/10.1007/BF01354263.pdf',"b'Conclusion While the extent of linkages and the patterning of the relationships between career development and mental health is yet to be fully studied and articulated, this paper has argued that such connections do exist. Given such a premise, it has been contended\xc2\xa0\xe2\x80\xa6'"
b'Breakfast and mental health',b'https://www.researchgate.net/profile/Andrew_Smith24/publication/12932030_Breakfast_and_mental_health/links/557aa93708ae75215871ab1b.pdf',b'The objective of the present investigation was to study the relationship between breakfast consumption and subjective reports of mental health and health-related behaviours in a general population sample (126 subjects aged between 20 and 79 years). Individuals who\xc2\xa0\xe2\x80\xa6'
b'Integrating physical activity into mental health services for persons with serious mental illness',b'https://ps.psychiatryonline.org/doi/full/10.1176/appi.ps.56.3.324',b'This article reviews evidence supporting the need for interventions to promote physical activity among persons with serious mental illness. Principles of designing effective physical activity interventions are discussed along with ways to adapt such interventions for this\xc2\xa0\xe2\x80\xa6'
b'Physical activity and mental health.',b'https://psycnet.apa.org/record/2007-01666-029',"b'Landers, DM, & Arent, SM (2007). Physical activity and mental health. In G. Tenenbaum & RC \nEklund (Eds.), Handbook of sport psychology (p. 469\xe2\x80\x93491). John Wiley & Sons Inc\xc2\xa0\xe2\x80\xa6 \nTenenbaum, Gershon (Ed); Eklund, Robert C. (Ed). (2007). Handbook of sport psychology, 3rd\xc2\xa0\xe2\x80\xa6'"
